,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20
119,326.6249408,344.3175549,361.9027212,379.3088516,396.4782425,413.3609941,429.9127357
120,141928.9006,145542.5541,149109.3921,152625.4098,156087.3486,159492.5943,162839.0902
121,774.6446207,972.1952988,1224.77404,1524.357587,1870.254544,2264.587899,2710.648901
122,2281.779782,2320.223942,2356.47881,2390.637629,2422.794491,2453.043378,2481.477359
123,197.4687116,211.2932374,224.8813862,238.1594792,251.0692754,263.5661063,275.6170499
124,437.0244307,464.8867357,492.3253299,519.2745034,545.5896427,571.1575685,595.8923224
125,58.07588369,62.48392376,67.08078855,71.83792645,76.7455549,81.80070134,87.00283784
126,43.66063553,45.87480545,48.12465445,50.410004,52.7307437,55.08682118,57.47823323
127,8.951985426,9.081854114,9.203730619,9.318035309,9.425177722,9.525554768,9.619549406
128,433.7300535,444.4023576,454.5204225,464.0974947,473.1493445,481.6936227,489.7493251
129,1783.39449,1985.745513,2219.040172,2475.555721,2752.598423,3049.266781,3365.267995
130,1787.431391,1802.55889,1816.04145,1828.015751,1838.607773,1847.933418,1856.099162
131,13813.73008,15957.18381,18316.88471,20738.32144,23164.45685,25573.94489,27958.55024
132,5861.30589,7043.39877,8533.298005,10272.12527,12245.95183,14457.51662,16915.90872
133,82655.12483,85336.90962,88046.47316,90783.93834,93549.43065,96343.07727,99165.00626
134,1504.096341,1540.5051,1575.035209,1607.74551,1638.699183,1667.962417,1695.603309
135,13454.79606,14636.19064,15906.74729,17271.91257,18737.27299,20308.5264,21991.44595
136,12543.24858,12826.2546,13094.07655,13347.31135,13586.53428,13812.29921,14025.13894
137,167341.8844,170067.1367,172674.2466,175166.643,177547.7612,179821.0215,181989.8123
138,119.9848911,137.0945018,155.9700885,176.6334636,199.1278279,223.5044134,249.8175465
139,8996.003601,9816.499065,10711.53906,11687.85989,12752.79976,13914.35113,15284.39492
140,410.0044134,414.949978,419.5945694,423.9535607,428.0420033,431.8745472,435.4653801
141,1404.50439,1521.271416,1642.511825,1768.211723,1898.375063,2033.009939,2172.123479
142,240.9428767,248.6740998,256.0044643,262.9436659,269.5032035,275.695916,281.5355964
143,10787.00668,10815.36044,10841.9477,10866.87238,10890.23322,10912.1238,10932.63275
144,1608.017542,1732.241166,1861.684972,1996.301395,2136.026983,2280.782534,2430.473358
145,483.2818465,510.4580232,537.2536583,563.6517476,589.6354832,615.1882124,640.2934213
146,688.3724786,700.1421142,711.7895212,723.2928858,734.6342437,745.7989429,756.7751723
147,660.8537073,668.6002005,675.880302,682.7179803,689.1365909,695.1587835,700.8064324
148,83.61628506,121.3685861,166.3040299,214.6220992,264.6480907,315.5803487,366.9978648
149,79.90477304,80.12931079,80.34923682,80.56440614,80.77471756,80.98010686,81.18054085
150,1134.304541,1151.410352,1165.688577,1177.067783,1185.482867,1191.599479,1197.564974
151,3423.520571,3450.435005,3473.140811,3491.841499,3506.731104,3517.994514,3525.807794
152,118.5556654,121.6066695,124.488831,127.2082146,129.7712346,132.1845246,134.4548301
153,5202.456295,5328.777826,5452.271714,5572.969178,5690.905291,5806.118294,5918.649029
154,20.68309698,20.87046104,21.05312186,21.23118074,21.40473847,21.57389518,21.73875009
155,441.0282615,461.7999452,483.134347,505.0382823,527.518275,550.5805287,574.2309205
156,7.704566785,7.815705348,7.920082256,8.018050113,8.109952399,8.196122006,8.27688017
157,350.6138079,356.762251,362.1750136,366.8828004,370.9166531,374.3074897,377.0857617
158,5828.27171,6268.411311,6722.05682,7189.46724,7670.904705,8166.634135,8676.922991
159,2153.932322,2282.275113,2411.789703,2542.436381,2674.174753,2806.963496,2940.760225
160,96.84222777,97.74677452,98.43184142,98.90195933,99.2104456,99.50577061,99.7966893
161,23.21517882,23.94339247,24.67676469,25.41526147,26.15885055,26.907501,27.66118286
162,298.4661332,302.9263052,306.821184,310.1868062,313.0572377,315.4645709,317.4389642
163,2115.415378,2229.518559,2342.758068,2455.020016,2566.213832,2676.257291,2785.071085
